Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore,Candle Color
2024-06-05 23:15:00,0.52680000,0.52690000,0.52460000,0.52640000,103694.40000000,2024-06-05 23:29:59.999,54517.49110000,323,42720.60000000,22471.15582000,0,red
2024-06-05 23:30:00,0.52640000,0.52900000,0.52640000,0.52870000,127984.20000000,2024-06-05 23:44:59.999,67556.65899000,361,92529.80000000,48839.39205000,0,green
2024-06-05 23:45:00,0.52860000,0.52900000,0.52720000,0.52800000,106350.20000000,2024-06-05 23:59:59.999,56194.26086000,282,55111.20000000,29115.95004000,0,red
2024-06-06 00:00:00,0.52790000,0.53090000,0.52790000,0.53080000,358395.00000000,2024-06-06 00:14:59.999,189680.45510000,886,131220.60000000,69485.10829000,0,green
2024-06-06 00:15:00,0.53070000,0.53100000,0.52910000,0.52940000,117715.30000000,2024-06-06 00:29:59.999,62405.02125000,307,49666.10000000,26331.26514000,0,red
2024-06-06 00:30:00,0.52930000,0.52940000,0.52670000,0.52680000,127760.70000000,2024-06-06 00:44:59.999,67413.82237000,351,36058.20000000,19032.12370000,0,red
2024-06-06 00:45:00,0.52670000,0.52670000,0.52520000,0.52610000,70179.00000000,2024-06-06 00:59:59.999,36904.68342000,282,40276.10000000,21177.85551000,0,red
2024-06-06 01:00:00,0.52600000,0.52660000,0.52520000,0.52630000,105572.70000000,2024-06-06 01:14:59.999,55524.66142000,339,70179.50000000,36902.89174000,0,green
2024-06-06 01:15:00,0.52650000,0.53020000,0.52620000,0.53020000,147544.00000000,2024-06-06 01:29:59.999,77999.27835000,469,81992.10000000,43327.05547000,0,green
2024-06-06 01:30:00,0.53020000,0.53040000,0.52810000,0.52910000,134199.00000000,2024-06-06 01:44:59.999,70996.76550000,392,77576.70000000,41031.21307000,0,red
2024-06-06 01:45:00,0.52900000,0.53080000,0.52810000,0.52900000,126296.70000000,2024-06-06 01:59:59.999,66842.80707000,395,57828.70000000,30609.74999000,0,red
2024-06-06 02:00:00,0.52900000,0.53020000,0.52890000,0.52970000,140167.90000000,2024-06-06 02:14:59.999,74264.47934000,434,83659.90000000,44330.56971000,0,green
2024-06-06 02:15:00,0.52970000,0.53020000,0.52870000,0.53010000,151971.10000000,2024-06-06 02:29:59.999,80483.08788000,482,60488.30000000,32038.93885000,0,green
